stateabbr,statedesc,locationname,measureid,measure,category,data_value,indicator_90th_percentile
SD,South Dakota,Todd,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Prevention,17.6,17.1
SD,South Dakota,Union,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.8,7.6
OK,Oklahoma,Le Flore,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,22.4,20.8
OK,Oklahoma,Sequoyah,PHLTH,Frequent physical distress among adults,Health Status,17.1,16.4
SC,South Carolina,Clarendon,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,80.1,78.9
PA,Pennsylvania,Chester,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,81.0,78.6
OK,Oklahoma,Grant,HEARING,Hearing disability among adults,Disability,8.2,8.2
OK,Oklahoma,Texas,OBESITY,Obesity among adults,Health Outcomes,44.5,43.0
SC,South Carolina,Darlington,STROKE,Stroke among adults,Health Outcomes,4.1,4.1
SC,South Carolina,Florence,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,65.2,62.5
