stateabbr,statedesc,locationname,measureid,measure,category,data_value,indicator_90th_percentile
LA,Louisiana,Catahoula,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,26.9,22.1
LA,Louisiana,Bienville,SLEEP,Short sleep duration among adults,Health Risk Behaviors,45.3,42.3
LA,Louisiana,Morehouse,OBESITY,Obesity among adults,Health Outcomes,44.9,43.0
KY,Kentucky,Letcher,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,34.1,24.0
LA,Louisiana,West Baton Rouge,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,30.3,29.0
LA,Louisiana,Claiborne,SELFCARE,Self-care disability among adults,Disability,8.2,5.4
LA,Louisiana,Evangeline,ARTHRITIS,Arthritis among adults,Health Outcomes,29.0,28.0
KY,Kentucky,Lincoln,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,27.3,24.0
LA,Louisiana,West Feliciana,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,31.9,29.0
LA,Louisiana,St. Mary,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,80.2,78.9
LA,Louisiana,St. Martin,LONELINESS,Loneliness among adults,Health-Related Social Needs,38.1,38.1
MI,Michigan,Clare,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.6,7.6
LA,Louisiana,Franklin,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,30.8,26.2
LA,Louisiana,Winn,MOBILITY,Mobility disability among adults,Disability,17.9,17.75
LA,Louisiana,St. Landry,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,80.7,78.9
MD,Maryland,Wicomico,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,62.7,62.5
LA,Louisiana,Acadia,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,35.0,34.3
KY,Kentucky,Breckinridge,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,25.3,24.0
MI,Michigan,Cass,DEPRESSION,Depression among adults,Health Outcomes,28.6,28.4
LA,Louisiana,Jackson,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,9.2,9.1
LA,Louisiana,St. John the Baptist,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,15.7,14.3
LA,Louisiana,Lafayette,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,81.0,78.9
LA,Louisiana,Madison,MOBILITY,Mobility disability among adults,Disability,24.5,17.75
LA,Louisiana,Avoyelles,DIABETES,Diagnosed diabetes among adults,Health Outcomes,15.2,14.2
LA,Louisiana,Webster,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,23.4,20.8
KY,Kentucky,Morgan,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,24.8,24.0
LA,Louisiana,St. John the Baptist,CHOLSCREEN,Cholesterol screening among adults,Prevention,86.2,85.9
MD,Maryland,Howard,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,64.3,63.1
LA,Louisiana,Bienville,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,10.8,9.1
LA,Louisiana,Bienville,PHLTH,Frequent physical distress among adults,Health Status,18.2,16.4
LA,Louisiana,Concordia,COGNITION,Cognitive disability among adults,Disability,23.0,20.4
LA,Louisiana,Rapides,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,30.0,29.0
LA,Louisiana,Iberville,STROKE,Stroke among adults,Health Outcomes,4.1,4.1
MA,Massachusetts,Worcester,CHOLSCREEN,Cholesterol screening among adults,Prevention,88.2,85.9
MA,Massachusetts,Dukes,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,64.9,63.1
ME,Maine,Hancock,CASTHMA,Current asthma among adults,Health Outcomes,12.3,11.8
LA,Louisiana,Caldwell,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.1,34.8
LA,Louisiana,Claiborne,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,23.3,14.3
LA,Louisiana,Madison,CASTHMA,Current asthma among adults,Health Outcomes,12.2,11.8
LA,Louisiana,Lincoln,SLEEP,Short sleep duration among adults,Health Risk Behaviors,43.7,42.3
LA,Louisiana,Evangeline,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,79.7,78.9
LA,Louisiana,Richland,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,9.5,9.1
LA,Louisiana,East Carroll,PHLTH,Frequent physical distress among adults,Health Status,20.2,16.4
KY,Kentucky,Montgomery,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,24.0,24.0
LA,Louisiana,Madison,HEARING,Hearing disability among adults,Disability,8.3,8.2
LA,Louisiana,Catahoula,SLEEP,Short sleep duration among adults,Health Risk Behaviors,42.3,42.3
LA,Louisiana,Allen,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,62.5,62.5
LA,Louisiana,Morehouse,SLEEP,Short sleep duration among adults,Health Risk Behaviors,46.3,42.3
LA,Louisiana,Morehouse,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,10.3,9.1
LA,Louisiana,St. Helena,LONELINESS,Loneliness among adults,Health-Related Social Needs,39.9,38.1
LA,Louisiana,Tensas,LONELINESS,Loneliness among adults,Health-Related Social Needs,40.0,38.1
KY,Kentucky,Powell,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,27.3,24.0
LA,Louisiana,Winn,STROKE,Stroke among adults,Health Outcomes,4.2,4.1
LA,Louisiana,Tangipahoa,OBESITY,Obesity among adults,Health Outcomes,43.1,43.0
LA,Louisiana,Washington,MOBILITY,Mobility disability among adults,Disability,18.5,17.75
KY,Kentucky,Hart,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,26.2,24.0
LA,Louisiana,Rapides,BPHIGH,High blood pressure among adults,Health Outcomes,39.9,39.8
LA,Louisiana,Tensas,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,34.1,29.0
KY,Kentucky,Lee,SLEEP,Short sleep duration among adults,Health Risk Behaviors,43.2,42.3
LA,Louisiana,Tensas,DISABILITY,Any disability among adults,Disability,45.8,39.4
LA,Louisiana,Catahoula,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,63.7,62.5
KY,Kentucky,Martin,SLEEP,Short sleep duration among adults,Health Risk Behaviors,46.0,42.3
LA,Louisiana,Ascension,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,80.7,78.9
LA,Louisiana,Concordia,DISABILITY,Any disability among adults,Disability,43.7,39.4
MD,Maryland,Baltimore,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,81.4,78.6
LA,Louisiana,Washington,DISABILITY,Any disability among adults,Disability,40.4,39.4
LA,Louisiana,West Feliciana,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,81.0,78.6
LA,Louisiana,Jackson,PHLTH,Frequent physical distress among adults,Health Status,16.5,16.4
ME,Maine,Oxford,CASTHMA,Current asthma among adults,Health Outcomes,13.6,11.8
LA,Louisiana,St. Helena,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,81.2,78.9
LA,Louisiana,Allen,HEARING,Hearing disability among adults,Disability,8.4,8.2
LA,Louisiana,Richland,ARTHRITIS,Arthritis among adults,Health Outcomes,28.7,28.0
LA,Louisiana,Lafourche,MHLTH,Frequent mental distress among adults,Health Status,21.5,21.0
KY,Kentucky,Campbell,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,64.9,63.1
MI,Michigan,Chippewa,CASTHMA,Current asthma among adults,Health Outcomes,12.2,11.8
LA,Louisiana,Sabine,HEARING,Hearing disability among adults,Disability,8.6,8.2
LA,Louisiana,Lincoln,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,80.8,78.9
LA,Louisiana,Union,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,21.6,20.8
KY,Kentucky,Spencer,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,65.3,63.1
MD,Maryland,Baltimore,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,63.5,63.1
LA,Louisiana,Sabine,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,62.5,62.5
LA,Louisiana,Lincoln,BPHIGH,High blood pressure among adults,Health Outcomes,42.7,39.8
MD,Maryland,Anne Arundel,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,86.0,78.6
KY,Kentucky,Pendleton,SLEEP,Short sleep duration among adults,Health Risk Behaviors,42.8,42.3
LA,Louisiana,St. Mary,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,21.4,20.2
KS,Kansas,Seward,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,21.1,20.2
LA,Louisiana,Claiborne,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,34.9,29.0
LA,Louisiana,Orleans,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,24.4,24.0
LA,Louisiana,Avoyelles,STROKE,Stroke among adults,Health Outcomes,4.6,4.1
LA,Louisiana,Iberia,MOBILITY,Mobility disability among adults,Disability,18.2,17.75
LA,Louisiana,St. Landry,LONELINESS,Loneliness among adults,Health-Related Social Needs,39.3,38.1
LA,Louisiana,Ouachita,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,25.3,24.0
MD,Maryland,Prince George's,SLEEP,Short sleep duration among adults,Health Risk Behaviors,43.8,42.3
LA,Louisiana,Jackson,DISABILITY,Any disability among adults,Disability,40.2,39.4
LA,Louisiana,Allen,OBESITY,Obesity among adults,Health Outcomes,43.9,43.0
LA,Louisiana,Red River,SLEEP,Short sleep duration among adults,Health Risk Behaviors,45.4,42.3
LA,Louisiana,Vermilion,DEPRESSION,Depression among adults,Health Outcomes,29.6,28.4
LA,Louisiana,Livingston,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.1,34.8
MI,Michigan,Charlevoix,CHOLSCREEN,Cholesterol screening among adults,Prevention,86.1,85.9
LA,Louisiana,Madison,PHLTH,Frequent physical distress among adults,Health Status,19.3,16.4
LA,Louisiana,Iberia,DISABILITY,Any disability among adults,Disability,41.5,39.4
LA,Louisiana,West Carroll,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,27.3,24.0
KS,Kansas,Sheridan,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,68.4,67.4
LA,Louisiana,Caddo,DIABETES,Diagnosed diabetes among adults,Health Outcomes,14.5,14.2
ME,Maine,Penobscot,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.6,7.6
LA,Louisiana,Concordia,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,32.3,22.1
LA,Louisiana,Franklin,BPHIGH,High blood pressure among adults,Health Outcomes,42.7,39.8
LA,Louisiana,Washington,SLEEP,Short sleep duration among adults,Health Risk Behaviors,42.4,42.3
LA,Louisiana,Webster,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,15.8,13.4
LA,Louisiana,St. Helena,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,16.3,13.4
ME,Maine,Franklin,MHLTH,Frequent mental distress among adults,Health Status,21.0,21.0
LA,Louisiana,Avoyelles,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,32.1,29.0
MD,Maryland,Wicomico,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,80.0,78.9
LA,Louisiana,Pointe Coupee,LONELINESS,Loneliness among adults,Health-Related Social Needs,38.1,38.1
MD,Maryland,Calvert,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,70.7,67.4
MI,Michigan,Bay,DEPRESSION,Depression among adults,Health Outcomes,28.4,28.4
KY,Kentucky,Lewis,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,30.1,24.0
MD,Maryland,Garrett,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.4,34.8
LA,Louisiana,Allen,DISABILITY,Any disability among adults,Disability,40.9,39.4
LA,Louisiana,Caldwell,HEARING,Hearing disability among adults,Disability,8.7,8.2
LA,Louisiana,LaSalle,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,79.1,78.6
MA,Massachusetts,Dukes,CHOLSCREEN,Cholesterol screening among adults,Prevention,88.7,85.9
LA,Louisiana,Washington,ARTHRITIS,Arthritis among adults,Health Outcomes,29.1,28.0
MA,Massachusetts,Essex,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,79.1,78.9
LA,Louisiana,Natchitoches,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,30.2,29.0
LA,Louisiana,Iberville,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,15.1,14.3
LA,Louisiana,Lafayette,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,62.7,62.5
LA,Louisiana,Franklin,VISION,Vision disability among adults,Disability,8.4,7.6
KY,Kentucky,Rowan,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,26.8,24.0
LA,Louisiana,Richland,DISABILITY,Any disability among adults,Disability,41.2,39.4
LA,Louisiana,Madison,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,43.1,22.1
MA,Massachusetts,Franklin,CASTHMA,Current asthma among adults,Health Outcomes,12.0,11.8
LA,Louisiana,Winn,GHLTH,Fair or poor self-rated health status among adults,Health Status,27.3,26.9
LA,Louisiana,Jackson,BPHIGH,High blood pressure among adults,Health Outcomes,42.0,39.8
LA,Louisiana,St. Landry,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,22.4,20.8
MA,Massachusetts,Hampshire,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,65.5,63.1
LA,Louisiana,Acadia,INDEPLIVE,Independent living disability among adults,Disability,12.5,11.6
MA,Massachusetts,Plymouth,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,70.5,67.4
MI,Michigan,Benzie,DEPRESSION,Depression among adults,Health Outcomes,28.4,28.4
LA,Louisiana,East Baton Rouge,CHOLSCREEN,Cholesterol screening among adults,Prevention,87.1,85.9
LA,Louisiana,Claiborne,DIABETES,Diagnosed diabetes among adults,Health Outcomes,18.8,14.2
LA,Louisiana,Winn,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,15.1,14.3
LA,Louisiana,Acadia,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,27.1,26.2
MD,Maryland,Caroline,CASTHMA,Current asthma among adults,Health Outcomes,11.8,11.8
MI,Michigan,Baraga,CASTHMA,Current asthma among adults,Health Outcomes,12.1,11.8
LA,Louisiana,Concordia,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.6,34.8
LA,Louisiana,Avoyelles,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,36.6,34.3
MD,Maryland,Baltimore,LONELINESS,Loneliness among adults,Health-Related Social Needs,40.6,38.1
KY,Kentucky,Floyd,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,30.9,24.0
LA,Louisiana,St. Martin,SLEEP,Short sleep duration among adults,Health Risk Behaviors,42.3,42.3
LA,Louisiana,Red River,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,24.2,20.2
MA,Massachusetts,Essex,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,63.5,63.1
KY,Kentucky,Breathitt,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,29.7,24.0
LA,Louisiana,St. Helena,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,33.4,26.2
KY,Kentucky,Knott,SLEEP,Short sleep duration among adults,Health Risk Behaviors,42.7,42.3
LA,Louisiana,Concordia,DEPRESSION,Depression among adults,Health Outcomes,28.4,28.4
ME,Maine,Lincoln,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,78.9,78.9
LA,Louisiana,Natchitoches,MHLTH,Frequent mental distress among adults,Health Status,21.3,21.0
LA,Louisiana,Caldwell,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,24.2,22.1
LA,Louisiana,Washington,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,36.2,34.3
KY,Kentucky,Cumberland,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,35.2,24.0
LA,Louisiana,Grant,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.0,34.8
LA,Louisiana,Sabine,INDEPLIVE,Independent living disability among adults,Disability,11.9,11.6
MI,Michigan,Cheboygan,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.8,7.6
LA,Louisiana,Sabine,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,23.0,22.1
LA,Louisiana,Jefferson Davis,MHLTH,Frequent mental distress among adults,Health Status,21.8,21.0
LA,Louisiana,Winn,DISABILITY,Any disability among adults,Disability,41.4,39.4
LA,Louisiana,Beauregard,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.5,34.8
LA,Louisiana,Tangipahoa,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,79.8,78.9
KY,Kentucky,Wolfe,SLEEP,Short sleep duration among adults,Health Risk Behaviors,45.4,42.3
KY,Kentucky,Menifee,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,28.7,24.0
MD,Maryland,Cecil,CHOLSCREEN,Cholesterol screening among adults,Prevention,86.2,85.9
