stateabbr,statedesc,locationname,locationid,totalpopulation,health_burden_score,burden_percentile,burden_category,indicator_count,indicator_completeness,top_indicator_1,top_indicator_2,top_indicator_3,OBESITY_z,DIABETES_z,BPHIGH_z,STROKE_z,COPD_z,DEPRESSION_z,CSMOKING_z,LPA_z,GHLTH_z,MHLTH_z,ACCESS2_z
MS,Mississippi,Quitman,28119,5546,2.293205270468889,99.3234100135318,Very High,11,1.0,STROKE,BPHIGH,DIABETES,2.839464616883076,3.5757803772906,3.666095176474773,4.254538757745532,2.335848814161729,-1.4344400134798798,2.077068271546456,3.1135611938766337,2.839910780961332,1.0462390315522896,0.9111909681452336
LA,Louisiana,Tensas,22107,3764,2.26629772493077,99.28958051420838,Very High,11,1.0,STROKE,BPHIGH,DIABETES,2.4390274819324644,2.974938699523944,2.9785351509911933,3.445485030541501,2.400498999501536,0.8780310096827233,2.302919194774726,2.371404690686491,2.689473309270003,2.2959693309318325,0.1529920764020561
AL,Alabama,Wilcox,1131,9944,2.2213081457511565,99.25575101488498,Very High,11,1.0,BPHIGH,STROKE,DIABETES,3.008069726335965,3.404111326500127,3.623122674882048,3.6072957759823066,2.1418982581423087,-0.393828053056709,1.8229859829146524,2.241527302628217,2.861401848345807,1.3961635153785614,0.7216412452094391
AR,Arkansas,Desha,5041,10479,2.196237413656435,99.22192151556158,Very High,11,1.0,LPA,STROKE,GHLTH,1.8910608762105736,2.545766072547761,2.828131395416661,3.121863539659888,2.400498999501536,0.1264779271548768,1.87944871372172,3.2063307567754014,3.033330387421611,2.0460232710559243,1.0796796107548288
SD,South Dakota,Mellette,46095,1851,2.1672736261507906,99.18809201623816,Very High,11,1.0,CSMOKING,STROKE,COPD,1.8067583214841287,3.0607732249191804,1.1307175825040752,3.769106521423112,3.2409514089190283,-0.1336750629509155,4.307346138425622,1.94466470135216,2.345616231118393,1.64610957525447,0.7216412452094391
AL,Alabama,Lowndes,1085,9717,2.152553879780417,99.15426251691474,Very High,11,1.0,STROKE,BPHIGH,DIABETES,2.881615894246298,3.5328631145929807,3.623122674882048,3.769106521423112,1.8832975167830803,-0.5961692675834366,1.6535977904934496,2.2786351277877235,2.8184197135768554,1.196206667477835,0.6373969239046415
LA,Louisiana,Bienville,22013,12366,2.145516107223351,99.12043301759134,Very High,11,1.0,STROKE,DIABETES,BPHIGH,2.1018172630266854,2.717435123338234,2.5917826366566805,2.9600527942190804,2.465149184841344,1.3405252143152433,2.302919194774726,2.408512515845999,2.453071568040772,2.2959693309318325,-0.0365576465337383
MS,Mississippi,Jefferson,28063,6941,2.115142628991232,99.08660351826794,Very High,11,1.0,STROKE,BPHIGH,DIABETES,2.965918448972744,3.7045321653834544,4.009875189216562,4.092728012304725,1.6893469607636586,-1.9547459936914653,1.6253664250899165,3.020791630977866,2.689473309270003,0.5963361237756548,0.826946646840436
TX,Texas,Starr,48427,65934,2.114656143321268,99.05277401894452,Very High,11,1.0,ACCESS2,GHLTH,DIABETES,1.7224557667576834,4.004953004266782,0.851396322151372,1.8273775761334368,0.2023926979480966,-0.8852281454787619,0.3549549819308981,3.81860987190727,4.322794430490146,0.2964008519245638,6.745110218502461
SD,South Dakota,Buffalo,46017,1884,2.1108329537959154,99.01894451962112,Very High,11,1.0,CSMOKING,STROKE,DIABETES,2.3968762045692413,3.2324422757096527,0.9373413253368188,3.6072957759823066,2.2711986288219226,-0.5961692675834366,4.44850296544329,1.9632186139319137,2.4960537028097214,1.846066423155198,0.6163358435784422
AR,Arkansas,Phillips,5107,14961,2.0748343587703983,98.9851150202977,Very High,11,1.0,BPHIGH,STROKE,GHLTH,2.312573649842797,2.588683335245378,3.322315163732983,3.121863539659888,1.947947702122887,-0.0180515117927858,1.5406723288793152,2.761036854861316,2.796928646192381,1.8960556351303783,0.5531526025998443
SD,South Dakota,Corson,46031,3782,2.0585351393193494,98.95128552097428,Very High,11,1.0,CSMOKING,STROKE,DIABETES,1.4063211865335157,3.0607732249191804,0.958827576133181,3.6072957759823066,2.8530502968801863,0.0686661515758119,4.081495215197352,1.870449051033146,2.4745626354252472,1.64610957525447,0.6163358435784422
GA,Georgia,Randolph,13243,6078,2.040564182634078,98.91745602165088,Very High,11,1.0,STROKE,DIABETES,BPHIGH,1.869985237528962,3.318276801104889,2.656241389045765,3.6072957759823066,2.1418982581423087,-0.7406987065310993,1.766523252107585,2.315742952947231,2.4745626354252472,1.7460879992048348,1.2902904140168223
TX,Texas,Jim Hogg,48247,4720,2.038627422836804,98.88362652232748,Very High,11,1.0,ACCESS2,GHLTH,DIABETES,1.7013801280760734,3.876201216173927,0.9803138269295432,1.8273775761334368,0.460993439307325,-1.0297575844264246,0.5243431743521,3.633070746109734,4.06490162187644,0.1464332159990183,6.239644290673675
TX,Texas,Zapata,48505,13736,2.037754334107726,98.84979702300406,Very High,11,1.0,ACCESS2,GHLTH,DIABETES,1.4484724638967388,3.8332839534763097,0.8299100713550097,1.8273775761334368,0.3316930686277108,-1.0008516966368917,0.4114177127379654,3.725840309008502,4.150865891414342,0.1964224279742007,6.660865897197662
