year,stateabbr,statedesc,locationname,locationid,totalpopulation,indicator_count,indicator_completeness,health_burden_score,burden_rank,burden_percentile,burden_category,high_burden_flag,very_high_burden_flag,priority_flag
2023,VA,Virginia,Clarke,51043,15466,11,1.0,-0.915717244819488,2645.0,10.554803788903923,Very Low,False,False,False
2023,SD,South Dakota,Meade,46093,30954,11,1.0,-0.9157437842587892,2646.0,10.520974289580517,Very Low,False,False,False
2023,VT,Vermont,Orange,50017,29943,11,1.0,-0.9175510008076389,2647.0,10.487144790257105,Very Low,False,False,False
2023,UT,Utah,Washington,49053,202452,11,1.0,-0.9177018081089304,2648.0,10.453315290933697,Very Low,False,False,False
2023,WY,Wyoming,Sheridan,56033,32519,11,1.0,-0.921166590549116,2649.0,10.419485791610285,Very Low,False,False,False
2023,WI,Wisconsin,Door,55029,30562,11,1.0,-0.9222157624415928,2650.0,10.385656292286876,Very Low,False,False,False
2023,AK,Alaska,Aleutians West,2016,5160,11,1.0,-0.9226010951573004,2651.0,10.351826792963465,Very Low,False,False,False
2023,VA,Virginia,Stafford,51179,165428,11,1.0,-0.9229195387987432,2652.0,10.317997293640053,Very Low,False,False,False
2023,ID,Idaho,Camas,16025,1232,11,1.0,-0.9248720653834508,2653.0,10.284167794316645,Very Low,False,False,False
2023,SD,South Dakota,Lawrence,46081,28053,11,1.0,-0.9249995728810464,2654.0,10.250338294993234,Very Low,False,False,False
2023,VA,Virginia,Prince William,51153,489640,11,1.0,-0.9250526090378872,2655.0,10.216508795669824,Very Low,False,False,False
2023,FL,Florida,Nassau,12089,101501,11,1.0,-0.9261164602170132,2656.0,10.182679296346414,Very Low,False,False,False
2023,WY,Wyoming,Crook,56011,7592,11,1.0,-0.9262278630702884,2657.0,10.148849797023004,Very Low,False,False,False
2023,MA,Massachusetts,Franklin,25011,70836,11,1.0,-0.9279189632944146,2658.0,10.115020297699594,Very Low,False,False,False
2023,WY,Wyoming,Park,56029,30735,11,1.0,-0.9297086794758292,2659.0,10.081190798376184,Very Low,False,False,False
2023,ND,North Dakota,Foster,38031,3309,11,1.0,-0.9303681445093218,2660.0,10.047361299052774,Very Low,False,False,False
2023,AK,Alaska,Petersburg,2195,3427,11,1.0,-0.930782564939422,2661.0,10.013531799729364,Very Low,False,False,False
2023,IA,Iowa,Madison,19121,16971,11,1.0,-0.9308696927214224,2662.0,9.979702300405954,Very Low,False,False,False
2023,KS,Kansas,Pottawatomie,20149,26382,11,1.0,-0.9331938622193018,2663.0,9.945872801082544,Very Low,False,False,False
2023,NE,Nebraska,Douglas,31055,589540,11,1.0,-0.9355663730802994,2664.0,9.912043301759134,Very Low,False,False,False
2023,IA,Iowa,Bremer,19017,25307,11,1.0,-0.937658128671519,2665.0,9.878213802435724,Very Low,False,False,False
2023,ID,Idaho,Latah,16057,41301,11,1.0,-0.9387067237654724,2666.0,9.844384303112314,Very Low,False,False,False
2023,ID,Idaho,Kootenai,16055,185010,11,1.0,-0.939626290921677,2667.0,9.810554803788904,Very Low,False,False,False
2023,MD,Maryland,Harford,24025,264644,11,1.0,-0.940753022236724,2668.0,9.776725304465494,Very Low,False,False,False
2023,IA,Iowa,Dickinson,19059,18056,11,1.0,-0.9409532163202956,2669.0,9.742895805142084,Very Low,False,False,False
2023,MA,Massachusetts,Suffolk,25025,768425,11,1.0,-0.9415950881642012,2670.0,9.709066305818672,Very Low,False,False,False
2023,IA,Iowa,Dubuque,19061,98887,11,1.0,-0.9421009380487624,2671.0,9.675236806495263,Very Low,False,False,False
2023,NV,Nevada,Storey,32029,4177,11,1.0,-0.9428699831078468,2672.0,9.641407307171852,Very Low,False,False,False
2023,OR,Oregon,Benton,41003,97713,11,1.0,-0.9434234687786784,2673.0,9.607577807848443,Very Low,False,False,False
2023,WA,Washington,Thurston,53067,299003,11,1.0,-0.9461025474847808,2674.0,9.573748308525031,Very Low,False,False,False
